variable,year,level
AGE,2014,80
AGE,2014,81
AGE,2014,82
AGE,2014,83
AGE,2014,84
AGE,2014,85
AGE,2014,86
AGE,2014,87
AGE,2014,88
AGE,2014,90+
AGE,2015,18
AGE,2015,19
AGE,2015,20
AGE,2015,21
AGE,2015,22
AGE,2015,23
AGE,2015,24
AGE,2015,25
AGE,2015,26
AGE,2015,27
AGE,2015,28
AGE,2015,29
AGE,2015,30
AGE,2015,31
AGE,2015,32
AGE,2015,33
AGE,2015,34
AGE,2015,35
AGE,2015,36
AGE,2015,37
AGE,2015,38
AGE,2015,39
AGE,2015,40
AGE,2015,41
AGE,2015,42
AGE,2015,43
AGE,2015,44
AGE,2015,45
AGE,2015,46
AGE,2015,47
AGE,2015,48
AGE,2015,49
AGE,2015,50
AGE,2015,51
AGE,2015,52
AGE,2015,53
AGE,2015,54
AGE,2015,55
AGE,2015,56
AGE,2015,57
AGE,2015,58
AGE,2015,59
AGE,2015,60
AGE,2015,61
AGE,2015,62
AGE,2015,63
AGE,2015,64
AGE,2015,65
AGE,2015,66
AGE,2015,67
AGE,2015,68
AGE,2015,69
AGE,2015,70
AGE,2015,71
AGE,2015,72
AGE,2015,73
AGE,2015,74
AGE,2015,75
AGE,2015,76
AGE,2015,77
AGE,2015,78
AGE,2015,79
AGE,2015,80
AGE,2015,81
AGE,2015,82
AGE,2015,83
AGE,2015,84
AGE,2015,85
AGE,2015,86
AGE,2015,87
AGE,2015,88
AGE,2015,89
AGE,2015,90+
AGE,2016,18
AGE,2016,19
AGE,2016,20
AGE,2016,21
AGE,2016,22
AGE,2016,23
AGE,2016,24
AGE,2016,25
AGE,2016,26
AGE,2016,27
AGE,2016,28
AGE,2016,29
AGE,2016,30
AGE,2016,31
AGE,2016,32
AGE,2016,33
AGE,2016,34
AGE,2016,35
AGE,2016,36
AGE,2016,37
AGE,2016,38
AGE,2016,39
AGE,2016,40
AGE,2016,41
AGE,2016,42
AGE,2016,43
AGE,2016,44
AGE,2016,45
AGE,2016,46
AGE,2016,47
AGE,2016,48
AGE,2016,49
AGE,2016,50
AGE,2016,51
AGE,2016,52
AGE,2016,53
AGE,2016,54
AGE,2016,55
AGE,2016,56
AGE,2016,57
AGE,2016,58
AGE,2016,59
AGE,2016,60
AGE,2016,61
AGE,2016,62
AGE,2016,63
AGE,2016,64
AGE,2016,65
AGE,2016,66
AGE,2016,67
AGE,2016,68
AGE,2016,69
AGE,2016,70
AGE,2016,71
AGE,2016,72
AGE,2016,73
AGE,2016,74
AGE,2016,75
AGE,2016,76
AGE,2016,77
AGE,2016,78
AGE,2016,79
AGE,2016,80
AGE,2016,81
AGE,2016,82
AGE,2016,83
AGE,2016,84
AGE,2016,85
AGE,2016,86
AGE,2016,87
AGE,2016,88
AGE,2016,89
AGE,2016,90+
AGE,2017,18
AGE,2017,19
AGE,2017,20
AGE,2017,21
AGE,2017,22
AGE,2017,23
AGE,2017,24
AGE,2017,25
AGE,2017,26
AGE,2017,27
AGE,2017,28
AGE,2017,29
AGE,2017,30
AGE,2017,31
AGE,2017,32
AGE,2017,33
AGE,2017,34
AGE,2017,35
AGE,2017,36
AGE,2017,37
AGE,2017,38
AGE,2017,39
AGE,2017,40
AGE,2017,41
AGE,2017,42
AGE,2017,43
AGE,2017,44
AGE,2017,45
AGE,2017,46
AGE,2017,47
AGE,2017,48
AGE,2017,49
AGE,2017,50
AGE,2017,51
AGE,2017,52
AGE,2017,53
AGE,2017,54
AGE,2017,55
AGE,2017,56
AGE,2017,57
AGE,2017,58
AGE,2017,59
AGE,2017,60
AGE,2017,61
AGE,2017,62
AGE,2017,63
AGE,2017,64
AGE,2017,65
AGE,2017,66
AGE,2017,67
AGE,2017,68
AGE,2017,69
AGE,2017,70
AGE,2017,71
AGE,2017,72
AGE,2017,73
AGE,2017,74
AGE,2017,75
AGE,2017,76
AGE,2017,77
AGE,2017,78
AGE,2017,79
AGE,2017,80
AGE,2017,81
AGE,2017,82
AGE,2017,83
AGE,2017,84
AGE,2017,85
AGE,2017,86
AGE,2017,87
AGE,2017,88
AGE,2017,89
AGE,2017,90+
AGE,2018,18
AGE,2018,19
AGE,2018,20
AGE,2018,21
AGE,2018,22
AGE,2018,23
AGE,2018,24
AGE,2018,25
AGE,2018,26
AGE,2018,27
AGE,2018,28
AGE,2018,29
AGE,2018,30
AGE,2018,31
AGE,2018,32
AGE,2018,33
AGE,2018,34
AGE,2018,35
AGE,2018,36
AGE,2018,37
AGE,2018,38
AGE,2018,39
AGE,2018,40
AGE,2018,41
AGE,2018,42
AGE,2018,43
AGE,2018,44
AGE,2018,45
AGE,2018,46
AGE,2018,47
AGE,2018,48
AGE,2018,49
AGE,2018,50
AGE,2018,51
AGE,2018,52
AGE,2018,53
AGE,2018,54
AGE,2018,55
AGE,2018,56
AGE,2018,57
AGE,2018,58
AGE,2018,59
AGE,2018,60
AGE,2018,61
AGE,2018,62
AGE,2018,63
AGE,2018,64
AGE,2018,65
AGE,2018,66
AGE,2018,67
AGE,2018,68
AGE,2018,69
AGE,2018,70
AGE,2018,71
AGE,2018,72
AGE,2018,73
AGE,2018,74
AGE,2018,75
AGE,2018,76
AGE,2018,77
AGE,2018,78
AGE,2018,79
AGE,2018,80
AGE,2018,81
AGE,2018,82
AGE,2018,83
AGE,2018,84
AGE,2018,85
AGE,2018,86
AGE,2018,87
AGE,2018,88
AGE,2018,89
AGE,2018,90+
AGE,2019,18
AGE,2019,19
AGE,2019,20
AGE,2019,21
AGE,2019,22
AGE,2019,23
AGE,2019,24
AGE,2019,25
AGE,2019,26
AGE,2019,27
AGE,2019,28
AGE,2019,29
AGE,2019,30
AGE,2019,31
AGE,2019,32
AGE,2019,33
AGE,2019,34
AGE,2019,35
AGE,2019,36
AGE,2019,37
AGE,2019,38
AGE,2019,39
AGE,2019,40
AGE,2019,41
AGE,2019,42
AGE,2019,43
AGE,2019,44
AGE,2019,45
AGE,2019,46
AGE,2019,47
AGE,2019,48
AGE,2019,49
AGE,2019,50
AGE,2019,51
AGE,2019,52
AGE,2019,53
AGE,2019,54
AGE,2019,55
AGE,2019,56
AGE,2019,57
AGE,2019,58
AGE,2019,59
AGE,2019,60
AGE,2019,61
AGE,2019,62
AGE,2019,63
AGE,2019,64
AGE,2019,65
AGE,2019,66
AGE,2019,67
AGE,2019,68
AGE,2019,69
AGE,2019,70
AGE,2019,71
AGE,2019,72
AGE,2019,73
AGE,2019,74
AGE,2019,75
AGE,2019,76
AGE,2019,77
AGE,2019,78
AGE,2019,79
AGE,2019,80
AGE,2019,81
AGE,2019,82
AGE,2019,83
AGE,2019,84
AGE,2019,85
AGE,2019,86
AGE,2019,87
AGE,2019,90+
AGE,2020,18
AGE,2020,19
AGE,2020,20
AGE,2020,21
AGE,2020,23
AGE,2020,24
AGE,2020,25
AGE,2020,26
AGE,2020,27
AGE,2020,28
AGE,2020,29
AGE,2020,30
AGE,2020,31
AGE,2020,32
AGE,2020,33
AGE,2020,34
AGE,2020,35
AGE,2020,36
AGE,2020,37
AGE,2020,38
AGE,2020,39
AGE,2020,40
AGE,2020,41
AGE,2020,42
AGE,2020,43
AGE,2020,44
AGE,2020,45
AGE,2020,46
AGE,2020,47
AGE,2020,48
AGE,2020,49
AGE,2020,50
AGE,2020,51
AGE,2020,52
AGE,2020,53
AGE,2020,54
AGE,2020,55
AGE,2020,56
AGE,2020,57
AGE,2020,58
AGE,2020,59
AGE,2020,60
AGE,2020,61
AGE,2020,62
AGE,2020,63
AGE,2020,64
AGE,2020,65
AGE,2020,66
AGE,2020,67
AGE,2020,68
AGE,2020,69
AGE,2020,70
AGE,2020,71
AGE,2020,72
AGE,2020,73
AGE,2020,74
AGE,2020,75
AGE,2020,76
AGE,2020,77
AGE,2020,78
AGE,2020,79
AGE,2020,80
AGE,2020,81
AGE,2020,82
AGE,2020,83
AGE,2020,84
AGE,2020,85
AGE,2020,86
AGE,2020,87
AGE,2020,89
AGE,2020,90+
AGE,2023,18
AGE,2023,19
AGE,2023,20
AGE,2023,21
AGE,2023,22
AGE,2023,23
AGE,2023,24
AGE,2023,25
AGE,2023,26
AGE,2023,27
AGE,2023,28
AGE,2023,29
AGE,2023,30
AGE,2023,31
AGE,2023,32
AGE,2023,33
AGE,2023,34
AGE,2023,35
AGE,2023,36
AGE,2023,37
AGE,2023,38
AGE,2023,39
AGE,2023,40
AGE,2023,41
AGE,2023,42
AGE,2023,43
AGE,2023,44
AGE,2023,45
AGE,2023,46
AGE,2023,47
AGE,2023,48
AGE,2023,49
AGE,2023,50
AGE,2023,51
AGE,2023,52
AGE,2023,53
AGE,2023,54
AGE,2023,55
AGE,2023,56
AGE,2023,57
AGE,2023,58
AGE,2023,59
AGE,2023,60
AGE,2023,61
AGE,2023,62
AGE,2023,63
AGE,2023,64
AGE,2023,65
AGE,2023,66
AGE,2023,67
AGE,2023,68
AGE,2023,69
AGE,2023,70
AGE,2023,71
AGE,2023,72
AGE,2023,73
AGE,2023,74
AGE,2023,75
AGE,2023,76
AGE,2023,77
AGE,2023,78
AGE,2023,79
AGE,2023,80
AGE,2023,81
AGE,2023,82
AGE,2023,83
AGE,2023,84
AGE,2023,86
AGE,2023,87
AGE,2023,89
AGE,2023,90+
AIRTRA,2013,NULL
AIRTRA,2014,NULL
ANESTHES,2013,General
ANESTHES,2013,MAC/IV Sedation
ANESTHES,2013,Regional
ANESTHES,2013,Spinal
ANESTHES,2014,General
ANESTHES,2014,MAC/IV Sedation
ANESTHES,2015,General
ANESTHES,2015,Local
ANESTHES,2015,MAC/IV Sedation
ANESTHES,2015,Spinal
ANESTHES,2016,General
ANESTHES,2016,Local
ANESTHES,2016,MAC/IV Sedation
ANESTHES,2016,Spinal
ANESTHES,2017,Epidural
ANESTHES,2017,General
ANESTHES,2017,MAC/IV Sedation
ANESTHES,2017,Spinal
ANESTHES,2018,General
ANESTHES,2018,Local
ANESTHES,2018,MAC/IV Sedation
ANESTHES,2018,Other
ANESTHES,2018,Spinal
ANESTHES,2019,General
ANESTHES,2019,MAC/IV Sedation
ANESTHES,2020,General
ANESTHES,2020,Local
ANESTHES,2020,MAC/IV Sedation
ANESTHES,2021,General
ANESTHES,2021,MAC/IV Sedation
ANESTHES,2022,Epidural
ANESTHES,2022,General
ANESTHES,2022,MAC/IV Sedation
ANESTHES,2023,General
ANESTHES,2023,Regional
ANESTHES_OTHER,2014,Epidural
ANESTHES_OTHER,2014,Local
ANESTHES_OTHER,2014,"Local,Monitored Anesthesia Care/IV Sedation"
ANESTHES_OTHER,2014,NULL
ANESTHES_OTHER,2014,Regional
ANESTHES_OTHER,2014,Spinal
ANESTHES_OTHER,2015,Epidural
ANESTHES_OTHER,2015,General
ANESTHES_OTHER,2015,Local
ANESTHES_OTHER,2015,"Local,Monitored Anesthesia Care/IV Sedation"
ANESTHES_OTHER,2015,Monitored Anesthesia Care/IV Sedation
ANESTHES_OTHER,2015,NULL
ANESTHES_OTHER,2015,Other
ANESTHES_OTHER,2016,Epidural
ANESTHES_OTHER,2016,General
ANESTHES_OTHER,2016,Local
ANESTHES_OTHER,2016,Monitored Anesthesia Care/IV Sedation
ANESTHES_OTHER,2016,NULL
ANESTHES_OTHER,2016,Other
ANESTHES_OTHER,2016,Regional
ANESTHES_OTHER,2017,Epidural
ANESTHES_OTHER,2017,General
ANESTHES_OTHER,2017,Local
ANESTHES_OTHER,2017,Monitored Anesthesia Care/IV Sedation
ANESTHES_OTHER,2017,NULL
ANESTHES_OTHER,2017,Other
ANESTHES_OTHER,2017,Regional
ANESTHES_OTHER,2017,Spinal
ANESTHES_OTHER,2018,Epidural
ANESTHES_OTHER,2018,"Epidural,Local"
ANESTHES_OTHER,2018,General
ANESTHES_OTHER,2018,"General,Regional"
ANESTHES_OTHER,2018,"General,Spinal"
ANESTHES_OTHER,2018,Local
ANESTHES_OTHER,2018,Monitored anesthesia care/IV sedation
ANESTHES_OTHER,2018,NULL
ANESTHES_OTHER,2018,Other
ANESTHES_OTHER,2018,Regional
ANESTHES_OTHER,2018,Spinal
ANESTHES_OTHER,2019,Epidural
ANESTHES_OTHER,2019,"Epidural,Spinal"
ANESTHES_OTHER,2019,Local
ANESTHES_OTHER,2019,"Local,Monitored Anesthesia Care/IV Sedation"
ANESTHES_OTHER,2019,"Local,Other"
ANESTHES_OTHER,2019,NULL
ANESTHES_OTHER,2019,Regional
ANESTHES_OTHER,2019,"Regional,Local"
ANESTHES_OTHER,2019,Spinal
ANESTHES_OTHER,2019,"Spinal,Regional"
ANESTHES_OTHER,2020,Epidural
ANESTHES_OTHER,2020,"Epidural,Local"
ANESTHES_OTHER,2020,"Epidural,Regional"
ANESTHES_OTHER,2020,General
ANESTHES_OTHER,2020,Local
ANESTHES_OTHER,2020,Monitored Anesthesia Care/IV Sedation
ANESTHES_OTHER,2020,NULL
ANESTHES_OTHER,2020,Regional
ANESTHES_OTHER,2020,"Regional,Local"
ANESTHES_OTHER,2020,"Regional,Other"
ANESTHES_OTHER,2021,Epidural
ANESTHES_OTHER,2021,General
ANESTHES_OTHER,2021,Local
ANESTHES_OTHER,2021,Monitored Anesthesia Care/IV Sedation
ANESTHES_OTHER,2021,NULL
ANESTHES_OTHER,2021,Regional
ANESTHES_OTHER,2022,Epidural
ANESTHES_OTHER,2022,"Epidural,Regional"
ANESTHES_OTHER,2022,Local
ANESTHES_OTHER,2022,NULL
ANESTHES_OTHER,2022,Regional
ANESTHES_OTHER,2022,"Regional,Local"
ANESTHES_OTHER,2023,Epidural
ANESTHES_OTHER,2023,"Epidural,Local"
ANESTHES_OTHER,2023,"Epidural,Regional"
ANESTHES_OTHER,2023,Local
ANESTHES_OTHER,2023,NULL
ANESTHES_OTHER,2023,Regional
ANESTHES_OTHER,2023,"Regional,Local"
ASACLAS,2013,1-No Disturb
ASACLAS,2013,2-Mild Disturb
ASACLAS,2013,3-Severe Disturb
ASACLAS,2013,4-Life Threat
ASACLAS,2013,5-Moribund
ASACLAS,2014,1-No Disturb
ASACLAS,2014,2-Mild Disturb
ASACLAS,2014,3-Severe Disturb
ASACLAS,2014,4-Life Threat
ASACLAS,2014,5-Moribund
ASACLAS,2014,None assigned
ASACLAS,2015,1-No Disturb
ASACLAS,2015,2-Mild Disturb
ASACLAS,2015,3-Severe Disturb
ASACLAS,2015,4-Life Threat
ASACLAS,2015,5-Moribund
ASACLAS,2016,1-No Disturb
ASACLAS,2016,2-Mild Disturb
ASACLAS,2016,3-Severe Disturb
ASACLAS,2016,4-Life Threat
ASACLAS,2016,5-Moribund
ASACLAS,2017,1-No Disturb
ASACLAS,2017,2-Mild Disturb
ASACLAS,2017,3-Severe Disturb
ASACLAS,2017,4-Life Threat
ASACLAS,2017,5-Moribund
ASACLAS,2018,1-No Disturb
ASACLAS,2018,2-Mild Disturb
ASACLAS,2018,3-Severe Disturb
ASACLAS,2018,4-Life Threat
ASACLAS,2018,5-Moribund
ASACLAS,2018,None assigned
ASACLAS,2019,1-No Disturb
ASACLAS,2019,2-Mild Disturb
ASACLAS,2019,3-Severe Disturb
ASACLAS,2019,4-Life Threat
ASACLAS,2019,5-Moribund
ASACLAS,2019,None assigned
ASACLAS,2020,1-No Disturb
ASACLAS,2020,2-Mild Disturb
ASACLAS,2020,3-Severe Disturb
ASACLAS,2020,4-Life Threat
ASACLAS,2020,5-Moribund
ASACLAS,2021,1-No Disturb
ASACLAS,2021,2-Mild Disturb
ASACLAS,2021,3-Severe Disturb
ASACLAS,2021,4-Life Threat
ASACLAS,2021,5-Moribund
ASACLAS,2022,1-No Disturb
ASACLAS,2022,2-Mild Disturb
ASACLAS,2022,3-Severe Disturb
ASACLAS,2022,4-Life Threat
ASACLAS,2022,5-Moribund
ASACLAS,2023,1-No Disturb
ASACLAS,2023,2-Mild Disturb
ASACLAS,2023,3-Severe Disturb
ASACLAS,2023,4-Life Threat
ASCITES,2013,No
ASCITES,2013,Yes
ASCITES,2014,No
ASCITES,2014,Yes
ASCITES,2015,No
ASCITES,2015,Yes
ASCITES,2016,No
ASCITES,2016,Yes
ASCITES,2017,No
ASCITES,2017,Yes
ASCITES,2018,No
ASCITES,2018,Yes
ASCITES,2019,No
ASCITES,2019,Yes
ASCITES,2020,No
ASCITES,2020,Yes
ASCITES,2021,No
ASCITES,2021,Yes
ASCITES,2022,No
ASCITES,2022,Yes
ASCITES,2023,No
ASCITES,2023,Yes
ATTEND,2013,NULL
ATTEND,2014,NULL
BLEEDDIS,2013,No
BLEEDDIS,2013,Yes
BLEEDDIS,2014,No
BLEEDDIS,2014,Yes
BLEEDDIS,2015,No
BLEEDDIS,2015,Yes
BLEEDDIS,2016,No
BLEEDDIS,2016,Yes
BLEEDDIS,2017,No
BLEEDDIS,2017,Yes
BLEEDDIS,2018,No
BLEEDDIS,2018,Yes
BLEEDDIS,2019,No
BLEEDDIS,2019,Yes
BLEEDDIS,2020,No
BLEEDDIS,2020,Yes
BLEEDDIS,2021,No
BLEEDDIS,2021,Yes
BLEEDDIS,2022,No
BLEEDDIS,2022,Yes
BLEEDDIS,2023,No
BLEEDDIS,2023,Yes
CASETYPE,2021,Elective
CASETYPE,2021,Emergent
CASETYPE,2021,Urgent
CASETYPE,2022,Elective
CASETYPE,2022,Emergent
CASETYPE,2022,Urgent
CASETYPE,2023,Elective
CASETYPE,2023,Emergent
CASETYPE,2023,Urgent
CDARREST,2013,Cardiac Arrest Requiring CPR
CDARREST,2013,No Complication
CDARREST,2014,Cardiac Arrest Requiring CPR
CDARREST,2014,No Complication
CDARREST,2015,Cardiac Arrest Requiring CPR
CDARREST,2015,No Complication
CDARREST,2016,Cardiac Arrest Requiring CPR
CDARREST,2016,No Complication
CDARREST,2017,Cardiac Arrest Requiring CPR
CDARREST,2017,No Complication
CDARREST,2018,Cardiac Arrest Requiring CPR
CDARREST,2018,No Complication
CDARREST,2019,Cardiac Arrest Requiring CPR
CDARREST,2019,No Complication
CDARREST,2020,Cardiac Arrest Requiring CPR
CDARREST,2020,No Complication
CDARREST,2021,Cardiac Arrest Requiring CPR
CDARREST,2021,No Complication
CDARREST,2022,Cardiac Arrest Requiring CPR
CDARREST,2022,No Complication
CDARREST,2023,Cardiac Arrest Requiring CPR
CDARREST,2023,No Complication
CDIFF_LAB,2023,NULL
CDIFF_LAB,2023,Yes
CDMI,2013,Myocardial Infarction
CDMI,2013,No Complication
CDMI,2014,Myocardial Infarction
CDMI,2014,No Complication
CDMI,2015,Myocardial Infarction
CDMI,2015,No Complication
CDMI,2016,Myocardial Infarction
CDMI,2016,No Complication
CDMI,2017,Myocardial Infarction
CDMI,2017,No Complication
CDMI,2018,Myocardial Infarction
CDMI,2018,No Complication
CDMI,2019,Myocardial Infarction
CDMI,2019,No Complication
CDMI,2020,Myocardial Infarction
CDMI,2020,No Complication
CDMI,2021,Myocardial Infarction
CDMI,2021,No Complication
CDMI,2022,Myocardial Infarction
CDMI,2022,No Complication
CDMI,2023,Myocardial Infarction
CDMI,2023,No Complication
CHEMO,2013,NULL
CHEMO,2014,NULL
CNSCOMA,2013,No Complication
CNSCOMA,2014,NULL
CNSCVA,2013,No Complication
CNSCVA,2013,Stroke/CVA
CNSCVA,2014,No Complication
CNSCVA,2015,No Complication
CNSCVA,2015,Stroke/CVA
CNSCVA,2016,No Complication
CNSCVA,2016,Stroke/CVA
CNSCVA,2017,No Complication
CNSCVA,2017,Stroke/CVA
CNSCVA,2018,No Complication
CNSCVA,2018,Stroke/CVA
CNSCVA,2019,No Complication
CNSCVA,2019,Stroke/CVA
CNSCVA,2020,No Complication
CNSCVA,2020,Stroke/CVA
CNSCVA,2021,No Complication
CNSCVA,2021,Stroke/CVA
CNSCVA,2022,No Complication
CNSCVA,2022,Stroke/CVA
CNSCVA,2023,No Complication
COMA,2013,NULL
COMA,2014,NULL
CONCPT1,2013,0078T
CONCPT1,2013,0080T
CONCPT1,2013,11042
CONCPT1,2013,11623
CONCPT1,2013,15130
CONCPT1,2013,15734
CONCPT1,2013,15738
CONCPT1,2013,15777
CONCPT1,2013,15847
CONCPT1,2013,19307
CONCPT1,2013,19340
CONCPT1,2013,19357
CONCPT1,2013,19364
CONCPT1,2013,25020
CONCPT1,2013,31365
CONCPT1,2013,31540
CONCPT1,2013,35266
CONCPT1,2013,35341
CONCPT1,2013,36200
CONCPT1,2013,36245
CONCPT1,2013,37191
CONCPT1,2013,37223
CONCPT1,2013,38525
CONCPT1,2013,38760
CONCPT1,2013,39501
CONCPT1,2013,41899
CONCPT1,2013,43112
CONCPT1,2013,43117
CONCPT1,2013,43235
CONCPT1,2013,43246
CONCPT1,2013,44005
CONCPT1,2013,44143
CONCPT1,2013,44145
CONCPT1,2013,44310
CONCPT1,2013,46947
CONCPT1,2013,47380
CONCPT1,2013,47399
CONCPT1,2013,49205
CONCPT1,2013,49320
CONCPT1,2013,50715
CONCPT1,2013,50727
CONCPT1,2013,50780
CONCPT1,2013,50785
CONCPT1,2013,51860
CONCPT1,2013,52005
CONCPT1,2013,52310
CONCPT1,2013,52332
CONCPT1,2013,53605
CONCPT1,2013,54520
CONCPT1,2013,55866
CONCPT1,2013,57296
CONCPT1,2013,58150
CONCPT1,2013,58662
CONCPT1,2013,58671
CONCPT1,2013,58720
CONCPT1,2013,58953
CONCPT1,2013,60200
CONCPT1,2013,62272
CONCPT1,2013,75952
CONCPT1,2013,76998
CONCPT1,2013,99360
CONCPT1,2013,NULL
CONCPT1,2014,11983
CONCPT1,2014,15130
CONCPT1,2014,15131
CONCPT1,2014,15272
CONCPT1,2014,15738
CONCPT1,2014,15777
CONCPT1,2014,19307
CONCPT1,2014,19340
CONCPT1,2014,19357
CONCPT1,2014,19364
CONCPT1,2014,31225
CONCPT1,2014,31541
CONCPT1,2014,32662
CONCPT1,2014,32674
CONCPT1,2014,34401
CONCPT1,2014,34812
CONCPT1,2014,34825
CONCPT1,2014,35647
CONCPT1,2014,36200
CONCPT1,2014,36561
CONCPT1,2014,37191
CONCPT1,2014,37236
CONCPT1,2014,37237
CONCPT1,2014,37565
CONCPT1,2014,38525
CONCPT1,2014,39501
CONCPT1,2014,43112
CONCPT1,2014,43117
CONCPT1,2014,43282
CONCPT1,2014,44015
CONCPT1,2014,44140
CONCPT1,2014,44300
CONCPT1,2014,44626
CONCPT1,2014,45111
CONCPT1,2014,47562
CONCPT1,2014,49507
CONCPT1,2014,49651
CONCPT1,2014,50543
CONCPT1,2014,50760
CONCPT1,2014,50785
CONCPT1,2014,51590
CONCPT1,2014,52000
CONCPT1,2014,52005
CONCPT1,2014,55650
CONCPT1,2014,55840
CONCPT1,2014,57106
CONCPT1,2014,57280
CONCPT1,2014,58150
CONCPT1,2014,58661
CONCPT1,2014,58940
CONCPT1,2014,61500
CONCPT1,2014,62272
CONCPT1,2014,69535
CONCPT1,2014,75952
CONCPT1,2014,76937
CONCPT1,2014,76998
CONCPT1,2014,NULL
CONCPT1,2015,14302
CONCPT1,2015,15130
CONCPT1,2015,15734
CONCPT1,2015,15757
CONCPT1,2015,15777
CONCPT1,2015,15830
CONCPT1,2015,19357
CONCPT1,2015,19364
CONCPT1,2015,32662
CONCPT1,2015,32674
CONCPT1,2015,34151
CONCPT1,2015,34401
CONCPT1,2015,34502
CONCPT1,2015,34803
CONCPT1,2015,34804
CONCPT1,2015,34847
CONCPT1,2015,35091
CONCPT1,2015,35331
CONCPT1,2015,35355
CONCPT1,2015,37221
CONCPT1,2015,38100
CONCPT1,2015,38747
CONCPT1,2015,38900
CONCPT1,2015,42953
CONCPT1,2015,43107
CONCPT1,2015,43112
CONCPT1,2015,43246
CONCPT1,2015,44120
CONCPT1,2015,44140
CONCPT1,2015,44204
CONCPT1,2015,44300
CONCPT1,2015,44660
CONCPT1,2015,47562
CONCPT1,2015,49000
CONCPT1,2015,49505
CONCPT1,2015,49587
CONCPT1,2015,50727
CONCPT1,2015,52000
CONCPT1,2015,52005
CONCPT1,2015,52310
CONCPT1,2015,52332
CONCPT1,2015,58150
CONCPT1,2015,58661
CONCPT1,2015,58720
CONCPT1,2015,58925
CONCPT1,2015,61500
CONCPT1,2015,62272
CONCPT1,2015,69535
CONCPT1,2015,75962
CONCPT1,2015,76700
CONCPT1,2015,76705
CONCPT1,2015,NULL
CONCPT1,2016,11008
CONCPT1,2016,11043
CONCPT1,2016,11626
CONCPT1,2016,13102
CONCPT1,2016,13133
CONCPT1,2016,14301
CONCPT1,2016,15130
CONCPT1,2016,15131
CONCPT1,2016,15777
CONCPT1,2016,15830
CONCPT1,2016,15860
CONCPT1,2016,19120
CONCPT1,2016,19303
CONCPT1,2016,19307
CONCPT1,2016,19357
CONCPT1,2016,34401
CONCPT1,2016,34803
CONCPT1,2016,34846
CONCPT1,2016,35531
CONCPT1,2016,37605
CONCPT1,2016,41135
CONCPT1,2016,43631
CONCPT1,2016,44140
CONCPT1,2016,44143
CONCPT1,2016,47562
CONCPT1,2016,47610
CONCPT1,2016,49000
CONCPT1,2016,49560
CONCPT1,2016,49565
CONCPT1,2016,49568
CONCPT1,2016,49587
CONCPT1,2016,50230
CONCPT1,2016,50780
CONCPT1,2016,50820
CONCPT1,2016,51102
CONCPT1,2016,52005
CONCPT1,2016,52332
CONCPT1,2016,52356
CONCPT1,2016,54150
CONCPT1,2016,57410
CONCPT1,2016,58150
CONCPT1,2016,58571
CONCPT1,2016,58661
CONCPT1,2016,62230
